dataset,site,image_path,mask_path,mask_binary_path,mask_status_path
benthic,SEAVIEW_IDN_PHL,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\images\26009039201.jpg,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\masks_stitched\26009039201_mask.png,../coral_project_outputs/normalized_masks\benthic_000013_binary.png,
benthic,SEAVIEW_IDN_PHL,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\images\26009051501.jpg,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\masks_stitched\26009051501_mask.png,../coral_project_outputs/normalized_masks\benthic_000014_binary.png,
benthic,SEAVIEW_IDN_PHL,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\images\26009055601.jpg,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\masks_stitched\26009055601_mask.png,../coral_project_outputs/normalized_masks\benthic_000015_binary.png,
benthic,SEAVIEW_IDN_PHL,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\images\26009064101.jpg,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\masks_stitched\26009064101_mask.png,../coral_project_outputs/normalized_masks\benthic_000016_binary.png,
benthic,SEAVIEW_IDN_PHL,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\images\26010099801.jpg,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\masks_stitched\26010099801_mask.png,../coral_project_outputs/normalized_masks\benthic_000017_binary.png,
benthic,SEAVIEW_IDN_PHL,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\images\26010113401.jpg,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\masks_stitched\26010113401_mask.png,../coral_project_outputs/normalized_masks\benthic_000018_binary.png,
benthic,SEAVIEW_IDN_PHL,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\images\26010140401.jpg,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\masks_stitched\26010140401_mask.png,../coral_project_outputs/normalized_masks\benthic_000019_binary.png,
benthic,SEAVIEW_IDN_PHL,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\images\26010148201.jpg,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\masks_stitched\26010148201_mask.png,../coral_project_outputs/normalized_masks\benthic_000020_binary.png,
benthic,SEAVIEW_IDN_PHL,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\images\26010148301.jpg,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\masks_stitched\26010148301_mask.png,../coral_project_outputs/normalized_masks\benthic_000021_binary.png,
benthic,SEAVIEW_IDN_PHL,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\images\26010148501.jpg,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\masks_stitched\26010148501_mask.png,../coral_project_outputs/normalized_masks\benthic_000022_binary.png,
benthic,SEAVIEW_IDN_PHL,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\images\26010154101.jpg,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\masks_stitched\26010154101_mask.png,../coral_project_outputs/normalized_masks\benthic_000023_binary.png,
benthic,SEAVIEW_IDN_PHL,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\images\26010159701.jpg,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\masks_stitched\26010159701_mask.png,../coral_project_outputs/normalized_masks\benthic_000024_binary.png,
benthic,SEAVIEW_IDN_PHL,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\images\26010168101.jpg,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\masks_stitched\26010168101_mask.png,../coral_project_outputs/normalized_masks\benthic_000025_binary.png,
benthic,SEAVIEW_IDN_PHL,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\images\26010177001.jpg,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\masks_stitched\26010177001_mask.png,../coral_project_outputs/normalized_masks\benthic_000026_binary.png,
benthic,SEAVIEW_IDN_PHL,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\images\26010177201.jpg,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\masks_stitched\26010177201_mask.png,../coral_project_outputs/normalized_masks\benthic_000027_binary.png,
benthic,SEAVIEW_IDN_PHL,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\images\26010177301.jpg,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\masks_stitched\26010177301_mask.png,../coral_project_outputs/normalized_masks\benthic_000028_binary.png,
benthic,SEAVIEW_IDN_PHL,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\images\26010177401.jpg,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\masks_stitched\26010177401_mask.png,../coral_project_outputs/normalized_masks\benthic_000029_binary.png,
benthic,SEAVIEW_IDN_PHL,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\images\26010177501.jpg,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\masks_stitched\26010177501_mask.png,../coral_project_outputs/normalized_masks\benthic_000030_binary.png,
benthic,SEAVIEW_IDN_PHL,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\images\26010177601.jpg,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\masks_stitched\26010177601_mask.png,../coral_project_outputs/normalized_masks\benthic_000031_binary.png,
benthic,SEAVIEW_IDN_PHL,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\images\26010178501.jpg,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\masks_stitched\26010178501_mask.png,../coral_project_outputs/normalized_masks\benthic_000032_binary.png,
benthic,SEAVIEW_IDN_PHL,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\images\26010178601.jpg,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\masks_stitched\26010178601_mask.png,../coral_project_outputs/normalized_masks\benthic_000033_binary.png,
benthic,SEAVIEW_IDN_PHL,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\images\26010178701.jpg,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\masks_stitched\26010178701_mask.png,../coral_project_outputs/normalized_masks\benthic_000034_binary.png,
benthic,SEAVIEW_IDN_PHL,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\images\26010178801.jpg,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\masks_stitched\26010178801_mask.png,../coral_project_outputs/normalized_masks\benthic_000035_binary.png,
benthic,SEAVIEW_IDN_PHL,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\images\26010178901.jpg,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\masks_stitched\26010178901_mask.png,../coral_project_outputs/normalized_masks\benthic_000036_binary.png,
benthic,SEAVIEW_IDN_PHL,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\images\26010179001.jpg,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\masks_stitched\26010179001_mask.png,../coral_project_outputs/normalized_masks\benthic_000037_binary.png,
benthic,SEAVIEW_IDN_PHL,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\images\26010179101.jpg,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\masks_stitched\26010179101_mask.png,../coral_project_outputs/normalized_masks\benthic_000038_binary.png,
benthic,SEAVIEW_IDN_PHL,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\images\26010179201.jpg,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\masks_stitched\26010179201_mask.png,../coral_project_outputs/normalized_masks\benthic_000039_binary.png,
benthic,SEAVIEW_IDN_PHL,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\images\26010179301.jpg,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\masks_stitched\26010179301_mask.png,../coral_project_outputs/normalized_masks\benthic_000040_binary.png,
benthic,SEAVIEW_IDN_PHL,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\images\26010179401.jpg,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\masks_stitched\26010179401_mask.png,../coral_project_outputs/normalized_masks\benthic_000041_binary.png,
benthic,SEAVIEW_IDN_PHL,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\images\26010179501.jpg,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\masks_stitched\26010179501_mask.png,../coral_project_outputs/normalized_masks\benthic_000042_binary.png,
benthic,SEAVIEW_IDN_PHL,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\images\26010179601.jpg,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\masks_stitched\26010179601_mask.png,../coral_project_outputs/normalized_masks\benthic_000043_binary.png,
benthic,SEAVIEW_IDN_PHL,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\images\26010179701.jpg,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\masks_stitched\26010179701_mask.png,../coral_project_outputs/normalized_masks\benthic_000044_binary.png,
benthic,SEAVIEW_IDN_PHL,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\images\26012003301.jpg,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\masks_stitched\26012003301_mask.png,../coral_project_outputs/normalized_masks\benthic_000045_binary.png,
benthic,SEAVIEW_IDN_PHL,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\images\26012003401.jpg,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\masks_stitched\26012003401_mask.png,../coral_project_outputs/normalized_masks\benthic_000046_binary.png,
benthic,SEAVIEW_IDN_PHL,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\images\26012003501.jpg,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\masks_stitched\26012003501_mask.png,../coral_project_outputs/normalized_masks\benthic_000047_binary.png,
benthic,SEAVIEW_IDN_PHL,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\images\26012003601.jpg,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\masks_stitched\26012003601_mask.png,../coral_project_outputs/normalized_masks\benthic_000048_binary.png,
benthic,SEAVIEW_IDN_PHL,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\images\26012003701.jpg,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\masks_stitched\26012003701_mask.png,../coral_project_outputs/normalized_masks\benthic_000049_binary.png,
benthic,SEAVIEW_IDN_PHL,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\images\26013126301.jpg,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\masks_stitched\26013126301_mask.png,../coral_project_outputs/normalized_masks\benthic_000050_binary.png,
benthic,SEAVIEW_IDN_PHL,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\images\26013130401.jpg,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\masks_stitched\26013130401_mask.png,../coral_project_outputs/normalized_masks\benthic_000051_binary.png,
benthic,SEAVIEW_IDN_PHL,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\images\26013132801.jpg,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\masks_stitched\26013132801_mask.png,../coral_project_outputs/normalized_masks\benthic_000052_binary.png,
benthic,SEAVIEW_IDN_PHL,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\images\26013132901.jpg,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\masks_stitched\26013132901_mask.png,../coral_project_outputs/normalized_masks\benthic_000053_binary.png,
benthic,SEAVIEW_IDN_PHL,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\images\26013133001.jpg,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\masks_stitched\26013133001_mask.png,../coral_project_outputs/normalized_masks\benthic_000054_binary.png,
benthic,SEAVIEW_IDN_PHL,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\images\26013133101.jpg,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\masks_stitched\26013133101_mask.png,../coral_project_outputs/normalized_masks\benthic_000055_binary.png,
benthic,SEAVIEW_IDN_PHL,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\images\26013133201.jpg,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\masks_stitched\26013133201_mask.png,../coral_project_outputs/normalized_masks\benthic_000056_binary.png,
benthic,SEAVIEW_IDN_PHL,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\images\26013133301.jpg,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\masks_stitched\26013133301_mask.png,../coral_project_outputs/normalized_masks\benthic_000057_binary.png,
benthic,SEAVIEW_IDN_PHL,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\images\26013133401.jpg,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\masks_stitched\26013133401_mask.png,../coral_project_outputs/normalized_masks\benthic_000058_binary.png,
benthic,SEAVIEW_IDN_PHL,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\images\26013133501.jpg,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\masks_stitched\26013133501_mask.png,../coral_project_outputs/normalized_masks\benthic_000059_binary.png,
benthic,SEAVIEW_IDN_PHL,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\images\26013133601.jpg,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\masks_stitched\26013133601_mask.png,../coral_project_outputs/normalized_masks\benthic_000060_binary.png,
benthic,SEAVIEW_IDN_PHL,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\images\26013133701.jpg,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\masks_stitched\26013133701_mask.png,../coral_project_outputs/normalized_masks\benthic_000061_binary.png,
benthic,SEAVIEW_IDN_PHL,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\images\26013133801.jpg,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\masks_stitched\26013133801_mask.png,../coral_project_outputs/normalized_masks\benthic_000062_binary.png,
benthic,SEAVIEW_IDN_PHL,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\images\26013134101.jpg,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\masks_stitched\26013134101_mask.png,../coral_project_outputs/normalized_masks\benthic_000063_binary.png,
benthic,SEAVIEW_IDN_PHL,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\images\26013134201.jpg,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\masks_stitched\26013134201_mask.png,../coral_project_outputs/normalized_masks\benthic_000064_binary.png,
benthic,SEAVIEW_IDN_PHL,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\images\26013134301.jpg,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\masks_stitched\26013134301_mask.png,../coral_project_outputs/normalized_masks\benthic_000065_binary.png,
benthic,SEAVIEW_IDN_PHL,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\images\26013134401.jpg,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\masks_stitched\26013134401_mask.png,../coral_project_outputs/normalized_masks\benthic_000066_binary.png,
benthic,SEAVIEW_IDN_PHL,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\images\26013135301.jpg,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\masks_stitched\26013135301_mask.png,../coral_project_outputs/normalized_masks\benthic_000067_binary.png,
benthic,SEAVIEW_IDN_PHL,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\images\26013136201.jpg,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\masks_stitched\26013136201_mask.png,../coral_project_outputs/normalized_masks\benthic_000068_binary.png,
benthic,SEAVIEW_IDN_PHL,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\images\26013136301.jpg,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\masks_stitched\26013136301_mask.png,../coral_project_outputs/normalized_masks\benthic_000069_binary.png,
benthic,SEAVIEW_IDN_PHL,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\images\26013143201.jpg,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\masks_stitched\26013143201_mask.png,../coral_project_outputs/normalized_masks\benthic_000070_binary.png,
benthic,SEAVIEW_IDN_PHL,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\images\32001007501.jpg,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\masks_stitched\32001007501_mask.png,../coral_project_outputs/normalized_masks\benthic_000071_binary.png,
benthic,SEAVIEW_IDN_PHL,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\images\32001007601.jpg,G:/My Drive/jbg060/01_data.lnk/benthic_datasets/mask_labels/reef_support\SEAVIEW_IDN_PHL\masks_stitched\32001007601_mask.png,../coral_project_outputs/normalized_masks\benthic_000072_binary.png,
