dataset,site,image_resized,mask_resized
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220912_AnB_CB8 (56)_img.png,../coral_project_outputs\resized_data\20220912_AnB_CB8 (56)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220913_AnB_CB11 (30)_img.png,../coral_project_outputs\resized_data\20220913_AnB_CB11 (30)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220912_AnB_CB10 (169)_img.png,../coral_project_outputs\resized_data\20220912_AnB_CB10 (169)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220914_AnB_CB14 (77)_img.png,../coral_project_outputs\resized_data\20220914_AnB_CB14 (77)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220914_AnB_CB14 (69)_img.png,../coral_project_outputs\resized_data\20220914_AnB_CB14 (69)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220913_AnB_CB12 (249)_img.png,../coral_project_outputs\resized_data\20220913_AnB_CB12 (249)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220914_AnB_CB14 (162)_img.png,../coral_project_outputs\resized_data\20220914_AnB_CB14 (162)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220912_AnB_CB10 (103)_img.png,../coral_project_outputs\resized_data\20220912_AnB_CB10 (103)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220912_AnB_CB10 (110)_img.png,../coral_project_outputs\resized_data\20220912_AnB_CB10 (110)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220912_AnB_CB8 (54)_img.png,../coral_project_outputs\resized_data\20220912_AnB_CB8 (54)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220912_AnB_CB10 (39)_img.png,../coral_project_outputs\resized_data\20220912_AnB_CB10 (39)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220912_BnA_CB9 (24)_img.png,../coral_project_outputs\resized_data\20220912_BnA_CB9 (24)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220913_AnB_CB11 (225)_img.png,../coral_project_outputs\resized_data\20220913_AnB_CB11 (225)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220913_AnB_CB11 (389)_img.png,../coral_project_outputs\resized_data\20220913_AnB_CB11 (389)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220913_AnB_CB12 (187)_img.png,../coral_project_outputs\resized_data\20220913_AnB_CB12 (187)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220912_BnA_CB9 (149)_img.png,../coral_project_outputs\resized_data\20220912_BnA_CB9 (149)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220912_AnB_CB8 (9)_img.png,../coral_project_outputs\resized_data\20220912_AnB_CB8 (9)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220913_AnB_CB12 (212)_img.png,../coral_project_outputs\resized_data\20220913_AnB_CB12 (212)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220913_AnB_CB12 (102)_img.png,../coral_project_outputs\resized_data\20220913_AnB_CB12 (102)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220912_BnA_CB9 (211)_img.png,../coral_project_outputs\resized_data\20220912_BnA_CB9 (211)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220912_AnB_CB10 (21)_img.png,../coral_project_outputs\resized_data\20220912_AnB_CB10 (21)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220913_AnB_CB11 (270)_img.png,../coral_project_outputs\resized_data\20220913_AnB_CB11 (270)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220912_AnB_CB10 (64)_img.png,../coral_project_outputs\resized_data\20220912_AnB_CB10 (64)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220912_AnB_CB10 (160)_img.png,../coral_project_outputs\resized_data\20220912_AnB_CB10 (160)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220913_AnB_CB11 (121)_img.png,../coral_project_outputs\resized_data\20220913_AnB_CB11 (121)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220913_AnB_CB11 (85)_img.png,../coral_project_outputs\resized_data\20220913_AnB_CB11 (85)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220913_AnB_CB11 (223)_img.png,../coral_project_outputs\resized_data\20220913_AnB_CB11 (223)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220912_AnB_CB10 (126)_img.png,../coral_project_outputs\resized_data\20220912_AnB_CB10 (126)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220914_AnB_CB14 (85)_img.png,../coral_project_outputs\resized_data\20220914_AnB_CB14 (85)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220912_AnB_CB10 (17)_img.png,../coral_project_outputs\resized_data\20220912_AnB_CB10 (17)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220913_AnB_CB11 (433)_img.png,../coral_project_outputs\resized_data\20220913_AnB_CB11 (433)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220912_AnB_CB10 (113)_img.png,../coral_project_outputs\resized_data\20220912_AnB_CB10 (113)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220913_AnB_CB11 (147)_img.png,../coral_project_outputs\resized_data\20220913_AnB_CB11 (147)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220912_AnB_CB10 (182)_img.png,../coral_project_outputs\resized_data\20220912_AnB_CB10 (182)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220913_AnB_CB11 (25)_img.png,../coral_project_outputs\resized_data\20220913_AnB_CB11 (25)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220913_AnB_CB12 (203)_img.png,../coral_project_outputs\resized_data\20220913_AnB_CB12 (203)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220913_AnB_CB11 (226)_img.png,../coral_project_outputs\resized_data\20220913_AnB_CB11 (226)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220912_AnB_CB10 (69)_img.png,../coral_project_outputs\resized_data\20220912_AnB_CB10 (69)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220913_AnB_CB11 (210)_img.png,../coral_project_outputs\resized_data\20220913_AnB_CB11 (210)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220913_AnB_CB11 (194)_img.png,../coral_project_outputs\resized_data\20220913_AnB_CB11 (194)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220914_AnB_CB14 (32)_img.png,../coral_project_outputs\resized_data\20220914_AnB_CB14 (32)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220913_AnB_CB12 (26)_img.png,../coral_project_outputs\resized_data\20220913_AnB_CB12 (26)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220912_AnB_CB8 (26)_img.png,../coral_project_outputs\resized_data\20220912_AnB_CB8 (26)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220914_AnB_CB14 (83)_img.png,../coral_project_outputs\resized_data\20220914_AnB_CB14 (83)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220912_AnB_CB10 (72)_img.png,../coral_project_outputs\resized_data\20220912_AnB_CB10 (72)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220912_AnB_CB10 (37)_img.png,../coral_project_outputs\resized_data\20220912_AnB_CB10 (37)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220914_AnB_CB14 (31)_img.png,../coral_project_outputs\resized_data\20220914_AnB_CB14 (31)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220912_AnB_CB10 (27)_img.png,../coral_project_outputs\resized_data\20220912_AnB_CB10 (27)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220913_AnB_CB11 (149)_img.png,../coral_project_outputs\resized_data\20220913_AnB_CB11 (149)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220912_AnB_CB10 (161)_img.png,../coral_project_outputs\resized_data\20220912_AnB_CB10 (161)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220913_AnB_CB12 (228)_img.png,../coral_project_outputs\resized_data\20220913_AnB_CB12 (228)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\P9150320_img.png,../coral_project_outputs\resized_data\P9150320_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220912_AnB_CB8 (7)_img.png,../coral_project_outputs\resized_data\20220912_AnB_CB8 (7)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220912_AnB_CB10 (25)_img.png,../coral_project_outputs\resized_data\20220912_AnB_CB10 (25)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220914_AnB_CB14 (217)_img.png,../coral_project_outputs\resized_data\20220914_AnB_CB14 (217)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220912_AnB_CB10 (4)_img.png,../coral_project_outputs\resized_data\20220912_AnB_CB10 (4)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220912_BnA_CB9 (195)_img.png,../coral_project_outputs\resized_data\20220912_BnA_CB9 (195)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220913_AnB_CB12 (51)_img.png,../coral_project_outputs\resized_data\20220913_AnB_CB12 (51)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220913_AnB_CB12 (10)_img.png,../coral_project_outputs\resized_data\20220913_AnB_CB12 (10)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220912_AnB_CB10 (32)_img.png,../coral_project_outputs\resized_data\20220912_AnB_CB10 (32)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220913_AnB_CB11 (36)_img.png,../coral_project_outputs\resized_data\20220913_AnB_CB11 (36)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220913_AnB_CB12 (137)_img.png,../coral_project_outputs\resized_data\20220913_AnB_CB12 (137)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220912_AnB_CB10 (111)_img.png,../coral_project_outputs\resized_data\20220912_AnB_CB10 (111)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220912_BnA_CB9 (7)_img.png,../coral_project_outputs\resized_data\20220912_BnA_CB9 (7)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220912_AnB_CB10 (48)_img.png,../coral_project_outputs\resized_data\20220912_AnB_CB10 (48)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220913_AnB_CB11 (207)_img.png,../coral_project_outputs\resized_data\20220913_AnB_CB11 (207)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220914_AnB_CB14 (321)_img.png,../coral_project_outputs\resized_data\20220914_AnB_CB14 (321)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220914_AnB_CB14 (202)_img.png,../coral_project_outputs\resized_data\20220914_AnB_CB14 (202)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220914_AnB_CB14 (49)_img.png,../coral_project_outputs\resized_data\20220914_AnB_CB14 (49)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220912_AnB_CB10 (41)_img.png,../coral_project_outputs\resized_data\20220912_AnB_CB10 (41)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220913_AnB_CB12 (11)_img.png,../coral_project_outputs\resized_data\20220913_AnB_CB12 (11)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220912_AnB_CB8 (64)_img.png,../coral_project_outputs\resized_data\20220912_AnB_CB8 (64)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220912_AnB_CB10 (184)_img.png,../coral_project_outputs\resized_data\20220912_AnB_CB10 (184)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220914_AnB_CB14 (62)_img.png,../coral_project_outputs\resized_data\20220914_AnB_CB14 (62)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220912_AnB_CB10 (121)_img.png,../coral_project_outputs\resized_data\20220912_AnB_CB10 (121)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220913_AnB_CB12 (160)_img.png,../coral_project_outputs\resized_data\20220913_AnB_CB12 (160)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220912_BnA_CB9 (92)_img.png,../coral_project_outputs\resized_data\20220912_BnA_CB9 (92)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220912_BnA_CB9 (15)_img.png,../coral_project_outputs\resized_data\20220912_BnA_CB9 (15)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220912_AnB_CB8 (80)_img.png,../coral_project_outputs\resized_data\20220912_AnB_CB8 (80)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220914_AnB_CB14 (28)_img.png,../coral_project_outputs\resized_data\20220914_AnB_CB14 (28)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220914_AnB_CB14 (33)_img.png,../coral_project_outputs\resized_data\20220914_AnB_CB14 (33)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220912_BnA_CB9 (127)_img.png,../coral_project_outputs\resized_data\20220912_BnA_CB9 (127)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220912_AnB_CB10 (122)_img.png,../coral_project_outputs\resized_data\20220912_AnB_CB10 (122)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220912_AnB_CB10 (130)_img.png,../coral_project_outputs\resized_data\20220912_AnB_CB10 (130)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220912_AnB_CB10 (60)_img.png,../coral_project_outputs\resized_data\20220912_AnB_CB10 (60)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220914_AnB_CB14 (71)_img.png,../coral_project_outputs\resized_data\20220914_AnB_CB14 (71)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220913_AnB_CB11 (199)_img.png,../coral_project_outputs\resized_data\20220913_AnB_CB11 (199)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220912_AnB_CB10 (145)_img.png,../coral_project_outputs\resized_data\20220912_AnB_CB10 (145)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220913_AnB_CB12 (127)_img.png,../coral_project_outputs\resized_data\20220913_AnB_CB12 (127)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220912_AnB_CB8 (29)_img.png,../coral_project_outputs\resized_data\20220912_AnB_CB8 (29)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220914_AnB_CB14 (250)_img.png,../coral_project_outputs\resized_data\20220914_AnB_CB14 (250)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220913_AnB_CB11 (21)_img.png,../coral_project_outputs\resized_data\20220913_AnB_CB11 (21)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220914_AnB_CB14 (2)_img.png,../coral_project_outputs\resized_data\20220914_AnB_CB14 (2)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220914_AnB_CB14 (40)_img.png,../coral_project_outputs\resized_data\20220914_AnB_CB14 (40)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220912_AnB_CB10 (70)_img.png,../coral_project_outputs\resized_data\20220912_AnB_CB10 (70)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220912_AnB_CB10 (49)_img.png,../coral_project_outputs\resized_data\20220912_AnB_CB10 (49)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220912_BnA_CB9 (76)_img.png,../coral_project_outputs\resized_data\20220912_BnA_CB9 (76)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220912_AnB_CB10 (42)_img.png,../coral_project_outputs\resized_data\20220912_AnB_CB10 (42)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220914_AnB_CB14 (243)_img.png,../coral_project_outputs\resized_data\20220914_AnB_CB14 (243)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220913_AnB_CB12 (172)_img.png,../coral_project_outputs\resized_data\20220913_AnB_CB12 (172)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220914_AnB_CB14 (215)_img.png,../coral_project_outputs\resized_data\20220914_AnB_CB14 (215)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220913_AnB_CB12 (56)_img.png,../coral_project_outputs\resized_data\20220913_AnB_CB12 (56)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220914_AnB_CB14 (91)_img.png,../coral_project_outputs\resized_data\20220914_AnB_CB14 (91)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220914_AnB_CB14 (259)_img.png,../coral_project_outputs\resized_data\20220914_AnB_CB14 (259)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220913_AnB_CB12 (150)_img.png,../coral_project_outputs\resized_data\20220913_AnB_CB12 (150)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220912_AnB_CB10 (57)_img.png,../coral_project_outputs\resized_data\20220912_AnB_CB10 (57)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220912_AnB_CB10 (40)_img.png,../coral_project_outputs\resized_data\20220912_AnB_CB10 (40)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220912_BnA_CB9 (106)_img.png,../coral_project_outputs\resized_data\20220912_BnA_CB9 (106)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220912_AnB_CB10 (16)_img.png,../coral_project_outputs\resized_data\20220912_AnB_CB10 (16)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220912_AnB_CB10 (53)_img.png,../coral_project_outputs\resized_data\20220912_AnB_CB10 (53)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220914_AnB_CB14 (211)_img.png,../coral_project_outputs\resized_data\20220914_AnB_CB14 (211)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220913_AnB_CB11 (95)_img.png,../coral_project_outputs\resized_data\20220913_AnB_CB11 (95)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220914_AnB_CB14 (81)_img.png,../coral_project_outputs\resized_data\20220914_AnB_CB14 (81)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220913_AnB_CB12 (53)_img.png,../coral_project_outputs\resized_data\20220913_AnB_CB12 (53)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220913_AnB_CB12 (93)_img.png,../coral_project_outputs\resized_data\20220913_AnB_CB12 (93)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220913_AnB_CB11 (195)_img.png,../coral_project_outputs\resized_data\20220913_AnB_CB11 (195)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220912_AnB_CB10 (22)_img.png,../coral_project_outputs\resized_data\20220912_AnB_CB10 (22)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220913_AnB_CB11 (59)_img.png,../coral_project_outputs\resized_data\20220913_AnB_CB11 (59)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220914_AnB_CB14 (61)_img.png,../coral_project_outputs\resized_data\20220914_AnB_CB14 (61)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220912_AnB_CB10 (104)_img.png,../coral_project_outputs\resized_data\20220912_AnB_CB10 (104)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220912_AnB_CB10 (47)_img.png,../coral_project_outputs\resized_data\20220912_AnB_CB10 (47)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220913_AnB_CB11 (43)_img.png,../coral_project_outputs\resized_data\20220913_AnB_CB11 (43)_mask.png
benthic,SEAFLOWER_BOLIVAR,../coral_project_outputs\resized_data\20220913_AnB_CB11 (197)_img.png,../coral_project_outputs\resized_data\20220913_AnB_CB11 (197)_mask.png
